name,startDate,endDate,city,state,image,icon,website
BostonHacks,2017-10-28,2017-10-29,Boston,MA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/760/thumb/background2.png?1505944426,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/760/thumb/BostonHacks_logo.png?1505923738,https://bostonhacks.io/
HackDuke: Code for Good,2017-10-28,2017-10-29,Durham,NC,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/762/thumb/hackduke_splash.png?1505923932,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/762/thumb/hackduke_logo.png?1505923932,http://www.hackduke.org/
HackTX,2017-10-28,2017-10-29,Austin,TX,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/761/thumb/hacktx_splash.png?1505923815,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/761/thumb/hacktx_logo.png?1505923815,https://hacktx.com/
Invent YU 2017,2017-10-28,2017-10-29,New York,NY,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/777/thumb/invent_splash.jpg?1506707948,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/777/thumb/invent_logo.jpg?1506707948,https://inventyu2017.github.io/
ToledoHacks  ,2017-10-28,2017-10-29,Toledo,OH,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/705/thumb/splash.png?1502219250,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/705/thumb/smalllogo.png?1502219250,http://toledohacks.com/
Electric City Hacks,2017-11-03,2017-11-05,Peterborough,ON,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/688/thumb/echacks_splash.jpg?1500043427,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/688/thumb/echacks_logo.png?1500043427,http://2017.echacks.xyz/
HackGSU,2017-11-03,2017-11-05,Atlanta,GA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/787/thumb/hackgsu_mlh_splash_300.png?1507924484,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/787/thumb/hackgsu_mlh_logo_100.png?1507924484,http://hackgsu.com/
Hack K-State,2017-11-03,2017-11-05,Manhattan,KS,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/730/thumb/MLH_Splash.jpg?1503430503,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/730/thumb/MLH_Logo.png?1503430502,https://hackkstate.tech/
HackNC,2017-11-03,2017-11-05,Chapel Hill,NC,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/773/thumb/NCbanner-mlh.png?1506112481,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/773/thumb/hacknclogo.png?1506112481,http://hacknc.com
HackUMass V,2017-11-03,2017-11-05,Amherst,MA,https://s3.amazonaws.com/assets.mlh.io/events/splashes/000/000/679/thumb/hackumass_splash.png?1500042400,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/000/679/thumb/hackumass_logo.png?1500042400,http://hackumass.com/
